"Comments","Clinical Code",,,,"Sensitivity Code",,,,"Confidentiality Code",,,
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72729-7","7-Hydroxymitragynine/Creatinine [Mass Ratio] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72626-5","Methadone [Presence] in Saliva (oral fluid) by Screen method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72622-4","Propoxyphene [Presence] in Saliva (oral fluid)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72621-6","Propoxyphene [Mass/volume] in Saliva (oral fluid)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72620-8","Norpropoxyphene [Presence] in Saliva (oral fluid)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72619-0","Norpropoxyphene [Mass/volume] in Saliva (oral fluid)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72618-2","Propoxyphene + Norpropoxyphene [Presence] in Saliva (oral fluid)","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72617-4","Propoxyphene [Presence] in Saliva (oral fluid) by Screen method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72485-6","Tapentadol [Presence] in Urine by Screen method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72475-7","Methadone+Metabolite [Presence] in Saliva (oral fluid) by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72402-1","Oxycodone [Presence] in Blood by Screen method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72401-3","Propoxyphene [Presence] in Blood by Screen method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72400-5","Methadone [Presence] in Blood by Screen method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72388-2","Methadone [Mass/volume] in Saliva (oral fluid) by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72387-4","Methadone [Presence] in Saliva (oral fluid) by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72386-6","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Saliva (oral fluid) by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72385-8","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/volume] in Saliva (oral fluid) by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","72384-1","Meperidine+Normeperidine [Presence] in Urine by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","722907","Opiates [Presence] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","722603","Opiates [Presence] in Serum or Plasma","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","719895","Norpropoxyphene [Presence] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","719589","Norpropoxyphene [Presence] in Serum or Plasma","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","719285","Normeperidine [Mass/volume] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","71430-3","Oxycodone+Oxymorphone [Presence] in Saliva (oral fluid) by Screen method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","712649","Nicomorphine [Mass/volume] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","709334","Nalorphine [Mass/volume] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","709028","Nalbuphine [Mass/time] in 24 hour Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","708724","Nalbuphine [Mass/volume] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","708419","Nalbuphine [Presence] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","705710","Morphine [Mass/time] in 24 hour Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","705405","Morphine [Mass/volume] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","705101","Morphine [Presence] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","704798","Morphine Free [Mass/volume] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","704189","Morphine Free [Presence] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","703883","Morphine [Mass/volume] in Serum or Plasma","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","703579","Morphine [Presence] in Serum or Plasma","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","70215-9","Oxycodone [Moles/volume] in Urine by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","70210-0","Morphine [Moles/volume] in Urine by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","70206-8","Codeine [Moles/volume] in Urine by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","70197-9","6-Monoacetylmorphine (6-MAM) [Moles/volume] in Urine by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","70151-6","Opiates [Presence] in Urine by Screen method >300 ng/mL","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","70150-8","Opiates [Mass/volume] in Urine by Screen method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","70149-0","Methadone [Presence] in Urine by Screen method >300 ng/mL","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","70148-2","Methadone [Presence] in Urine by Screen method >150 ng/mL","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","70147-4","Methadone [Mass/volume] in Urine by Screen method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","69356-4","Oxycodone [Presence] in Saliva (oral fluid) by Screen method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","69028-9","Oxymorphone [Mass/mass] in Meconium by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","69027-1","Morphine [Mass/mass] in Meconium by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","68544-6","Hydrocodone [Mass/mass] in Meconium by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","68543-8","Oxycodone [Mass/mass] in Meconium by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","68542-0","Codeine [Mass/mass] in Meconium by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","68541-2","Hydromorphone [Mass/mass] in Meconium by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","684922","Methadone [Mass/time] in 24 hour Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","684648","Methadone [Mass/volume] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","684345","Methadone [Presence] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","683736","Methadone [Mass/volume] in Serum or Plasma","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","683430","Methadone [Presence] in Serum or Plasma","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","674970","Meperidine [Mass/time] in 24 hour Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","674664","Meperidine [Mass/volume] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","674360","Meperidine [Presence] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","674056","Meperidine [Mass/volume] in Serum or Plasma","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","662307","Levorphanol [Mass/time] in 24 hour Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","662003","Levorphanol [Mass/volume] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","661699","Levorphanol [Presence] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","66130-6","Fentanyl+Norfentanyl [Presence] in Serum or Plasma by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","66129-8","Fentanyl+Norfentanyl [Presence] in Urine by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","661091","Levorphanol [Mass/volume] in Serum or Plasma","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","65808-8","Nortapentadol [Mass/volume] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","65807-0","Tapentadol [Mass/volume] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","650896","Hydromorphone [Presence] in Serum or Plasma","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","650590","Hydrocodone [Mass/volume] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","650286","Hydrocodone [Mass/volume] in Serum or Plasma","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","649981","Hydrocodone [Presence] in Serum or Plasma","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","64131-6","Dihydrocodeine/Creatinine [Mass Ratio] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","634580","Fentanyl [Mass/volume] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","634276","Fentanyl [Mass/volume] in Serum or Plasma","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","627944","Ethylmorphine [Mass/volume] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","627640","Ethylmorphine [Presence] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","61429-7","Tapentadol/Creatinine [Mass Ratio] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","61425-5","Noroxycodone [Mass/volume] in Urine by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","61424-8","Noroxycodone [Presence] in Urine by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","61423-0","Noroxycodone/Creatinine [Mass Ratio] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","61422-2","Norhydrocodone [Mass/volume] in Urine by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","61421-4","Norhydrocodone [Presence] in Urine by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","61420-6","Norhydrocodone/Creatinine [Mass Ratio] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","611995","Dipipanone [Mass/time] in 24 hour Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","61197-0","Oxycodone+Oxymorphone [Presence] in Urine by Confirmatory method","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","611418","Dipipanone [Mass/volume] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","611112","Dipipanone [Presence] in Urine","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","61087-3","Normeperidine [Presence] in Gastric fluid","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","61086-5","Norfentanyl [Presence] in Gastric fluid","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","61077-4","Fentanyl [Presence] in Gastric fluid","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","61076-6","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Presence] in Gastric fluid","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
"Drug abuse information sensitivity","2.16.840.1.113883.6.1","LOINC","61054-3","Normeperidine [Presence] in Unspecified specimen","http://terminology.hl7.org/CodeSystem/v3-ActCode",,"ETH","substance abuse information sensitivity","http://terminology.hl7.org/CodeSystem/v3-Confidentiality",,"R","Restricted"
